,Country,Mortality_rate,Cases_per_ML,Deaths_per_ML,Recovered_per_ML,Active_per_ML,Critical_per_ML,Tests_per_ML,Clust_mem
184,Bhutan,0,112.6940086,0,103.6266745,9.067334022,0,52201.9373,0
185,Liechtenstein,0.011627907,2255.205329,26.22331777,2124.08874,104.8932711,0,23600.986,0
187,Antigua and Barbuda,0.039473684,775.7635146,30.622244,581.822636,163.3186347,10.20741467,9492.895639,0
188,Turks and Caicos,0.026666667,1935.933507,51.62489352,567.8738288,1316.434785,25.81244676,25554.32229,0
189,French Polynesia,0,220.6507774,0,213.5330104,7.117767014,0,16545.24942,0
190,Saint Martin,0.065217391,1188.784081,77.52939656,1007.882155,103.3725288,25.84313219,27290.34759,0
191,Macao,0,70.79820357,0,70.79820357,0,0,6265.641016,0
192,Belize,0.05,100.5186764,5.025933819,55.285272,40.20747055,0,7001.125809,0
193,St. Vincent Grenadines,0,342.4719263,0,261.3601543,81.11177202,0,11734.16969,0
194,Curaçao,0.035714286,170.6006361,6.092879861,146.2291167,18.27863958,0,6580.310249,0
195,Fiji,0,28.9933293,0,20.0723049,8.921024401,0,4460.512201,0
196,Timor-Leste,0,18.18862514,0,18.18862514,0,0,1188.323509,0
197,Grenada,0,204.3554363,0,204.3554363,0,0,48556.62867,0
198,Saint Lucia,0,125.2252694,0,103.4469617,21.77830772,0,11733.06328,0
199,New Caledonia,0,77.02353069,0,73.52246111,3.501069577,0,34454.0257,0
200,Laos,0,2.609794035,0,2.609794035,0,0,3156.614564,0
201,Dominica,0,250.0173623,0,250.0173623,0,0,11820.2653,0
202,Saint Kitts and Nevis,0,319.4467933,0,281.8648176,37.58197568,0,13623.46619,0
203,Papua New Guinea,0,1.786871564,0,0.893435782,0.893435782,0,798.1731919,0
204,Falkland Islands,0,3731.343284,0,3731.343284,0,0,476463.8347,0
205,Greenland,0,228.9740203,0,228.9740203,0,0,91448.70101,0
209,Caribbean Netherlands,0,381.1701925,0,266.8191347,114.3510577,0,16161.61616,0
211,St. Barth,0,607.348922,0,607.348922,0,0,90798.66383,0
